iso2c
AR
BD
BR
BG
CL
CN
CO
CZ
EG
HU
IN
ID
IR
IL
KW
MY
MU
MX
MA
NG
OM
PK
PE
PH
PL
QA
RO
RU
SA
ZA
KR
TW
TH
TR
UA
AE
VE
VN
